Latitude,Longitude,Date time,Plow status,Spreader status,Engine status,Truck
42.29934,-83.03991,2019-02-18 00:02:20,True,False,True,5727
42.27575,-83.0214,2019-02-18 00:02:21,True,True,True,5633
42.27574,-83.0215,2019-02-18 00:02:21,True,False,True,5633
42.29473,-83.02445,2019-02-18 00:02:20,True,False,True,7299
42.28659,-82.9922,2019-02-18 00:02:23,True,False,True,5334
42.32729,-82.93179,2019-02-18 00:02:23,True,False,True,8427
42.30554,-82.91841,2019-02-18 00:02:25,True,False,True,9097
42.30201,-83.03721,2019-02-18 00:02:24,True,False,True,4370
42.29761,-83.06882,2019-02-18 00:02:06,False,True,True,1080
42.29849,-83.06939,2019-02-18 00:02:21,False,True,True,1080
42.27572,-83.02161,2019-02-18 00:02:24,True,False,True,5633
42.28162,-82.99225,2019-02-18 00:02:33,True,False,True,7133
42.28994,-82.94279,2019-02-18 00:02:32,True,False,True,2818
42.26387,-82.9125,2019-02-18 00:02:32,False,True,True,8892
42.30055,-83.04072,2019-02-18 00:02:35,True,False,True,5727
42.29348,-83.02364,2019-02-18 00:02:35,True,False,True,7299
42.29926,-83.06989,2019-02-18 00:02:36,False,True,True,1080
42.30724,-82.9346,2019-02-18 00:02:37,True,False,True,4527
42.28727,-82.99114,2019-02-18 00:02:38,True,False,True,5334
42.32725,-82.93389,2019-02-18 00:02:38,True,False,True,8427
42.27537,-83.02349,2019-02-18 00:02:39,True,False,True,5633
42.3012,-83.0367,2019-02-18 00:02:39,True,False,True,4370
42.30506,-82.91789,2019-02-18 00:02:40,True,False,True,9097
42.32725,-82.93456,2019-02-18 00:02:46,True,False,True,8427
42.26222,-82.91261,2019-02-18 00:02:47,False,True,True,8892
42.28942,-82.94521,2019-02-18 00:02:47,True,False,True,2818
42.28104,-82.99535,2019-02-18 00:02:48,True,False,True,7133
42.32724,-82.93458,2019-02-18 00:02:47,True,False,True,8427
42.32723,-82.93464,2019-02-18 00:02:50,True,False,True,8427
42.29215,-83.02281,2019-02-18 00:02:50,True,False,True,7299
42.30174,-83.0415,2019-02-18 00:02:50,True,False,True,5727
42.29989,-83.07021,2019-02-18 00:02:51,True,True,True,1080
42.30567,-82.9336,2019-02-18 00:02:52,True,False,True,4527
42.27502,-83.0254,2019-02-18 00:02:54,True,False,True,5633
42.28797,-82.99004,2019-02-18 00:02:53,True,False,True,5334
42.32722,-82.93467,2019-02-18 00:02:51,True,True,True,8427
42.32718,-82.93471,2019-02-18 00:02:53,True,True,True,8427
42.30037,-83.03617,2019-02-18 00:02:54,True,False,True,4370
42.27497,-83.02572,2019-02-18 00:02:57,True,False,True,5633
42.27496,-83.02581,2019-02-18 00:02:58,True,True,True,5633
42.28045,-82.99848,2019-02-18 00:03:03,True,False,True,7133
42.28891,-82.94814,2019-02-18 00:03:02,True,False,True,2818
42.30292,-83.04227,2019-02-18 00:03:05,True,False,True,5727
42.30032,-83.07054,2019-02-18 00:03:05,True,True,True,1080
42.29109,-83.02213,2019-02-18 00:03:05,True,False,True,7299
42.28867,-82.98893,2019-02-18 00:03:08,True,False,True,5334
42.27483,-83.02672,2019-02-18 00:03:09,True,True,True,5633
42.30035,-83.07062,2019-02-18 00:03:06,True,True,True,1080
42.26172,-82.91378,2019-02-18 00:03:09,False,True,True,8892
42.30407,-82.93257,2019-02-18 00:03:07,True,False,True,4527
42.29977,-83.03567,2019-02-18 00:03:09,True,False,True,4370
42.32621,-82.93456,2019-02-18 00:03:11,True,True,True,8427
42.2748,-83.02688,2019-02-18 00:03:11,True,True,True,5633
42.27479,-83.02696,2019-02-18 00:03:12,True,True,True,5633
42.28839,-82.95138,2019-02-18 00:03:17,True,False,True,2818
42.30736,-82.96859,2019-02-18 00:03:17,True,False,True,3188
42.27963,-83.00168,2019-02-18 00:03:18,True,False,True,7133
42.30064,-83.07113,2019-02-18 00:03:18,True,True,True,1080
42.29,-83.02143,2019-02-18 00:03:20,True,False,True,7299
42.30408,-83.04299,2019-02-18 00:03:20,True,False,True,5727
42.30732,-82.96879,2019-02-18 00:03:20,True,False,True,3188
42.30067,-83.07111,2019-02-18 00:03:19,True,False,True,1080
42.30069,-83.07109,2019-02-18 00:03:20,True,False,True,1080
42.30072,-83.07107,2019-02-18 00:03:21,True,False,True,1080
42.30072,-83.07107,2019-02-18 00:03:21,True,False,True,1080
42.30244,-82.93149,2019-02-18 00:03:22,True,False,True,4527
42.28936,-82.98784,2019-02-18 00:03:23,True,False,True,5334
42.26177,-82.91555,2019-02-18 00:03:24,False,True,True,8892
42.27465,-83.02789,2019-02-18 00:03:24,True,True,True,5633
42.29927,-83.0353,2019-02-18 00:03:24,True,False,True,4370
42.32497,-82.93378,2019-02-18 00:03:26,True,True,True,8427
42.30716,-82.96968,2019-02-18 00:03:27,True,False,True,3188
42.28779,-82.9546,2019-02-18 00:03:32,True,False,True,2818
42.30526,-83.04372,2019-02-18 00:03:35,True,False,True,5727
42.3016,-83.07056,2019-02-18 00:03:36,True,False,True,1080
42.28849,-83.02048,2019-02-18 00:03:35,True,False,True,7299
42.30088,-82.9305,2019-02-18 00:03:37,True,False,True,4527
42.26183,-82.91742,2019-02-18 00:03:39,False,True,True,8892
42.29858,-83.03485,2019-02-18 00:03:39,True,False,True,4370
42.27447,-83.02926,2019-02-18 00:03:39,True,True,True,5633
42.30676,-82.97181,2019-02-18 00:03:42,True,False,True,3188
42.2872,-82.95778,2019-02-18 00:03:47,True,False,True,2818
42.28686,-83.01943,2019-02-18 00:03:50,True,False,True,7299
42.30637,-83.0444,2019-02-18 00:03:50,True,False,True,5727
42.3056,-82.91846,2019-02-18 00:03:51,True,False,True,9097
42.30236,-83.07008,2019-02-18 00:03:51,True,False,True,1080
42.32404,-82.93114,2019-02-18 00:03:52,True,True,True,8427
42.27445,-83.02941,2019-02-18 00:03:54,True,True,True,5633
42.29779,-83.03437,2019-02-18 00:03:54,True,False,True,4370
42.26192,-82.91942,2019-02-18 00:03:54,False,True,True,8892
42.2991,-82.92936,2019-02-18 00:03:52,True,False,True,4527
42.30632,-82.97408,2019-02-18 00:03:57,True,False,True,3188
42.2866,-82.96095,2019-02-18 00:04:02,True,False,True,2818
42.30744,-83.04509,2019-02-18 00:04:05,True,False,True,5727
42.3063,-82.91923,2019-02-18 00:04:06,True,False,True,9097
42.28533,-83.01844,2019-02-18 00:04:05,True,False,True,7299
42.27794,-83.00725,2019-02-18 00:04:05,False,True,True,7133
42.29752,-82.92837,2019-02-18 00:04:07,True,False,True,4527
42.32417,-82.92927,2019-02-18 00:04:07,True,True,True,8427
42.2894,-82.98777,2019-02-18 00:04:08,True,False,True,5334
42.30293,-83.06902,2019-02-18 00:04:08,True,False,True,1080
42.27444,-83.02941,2019-02-18 00:04:09,True,True,True,5633
42.29702,-83.03385,2019-02-18 00:04:09,True,False,True,4370
42.28941,-82.98772,2019-02-18 00:04:10,False,True,True,5334
42.26248,-82.92147,2019-02-18 00:04:12,False,True,True,8892
42.30602,-82.97562,2019-02-18 00:04:12,True,False,True,3188
42.29093,-82.98452,2019-02-18 00:04:12,True,True,True,9954
42.28604,-82.96411,2019-02-18 00:04:17,True,False,True,2818
42.29081,-82.98489,2019-02-18 00:04:16,False,True,True,9954
42.28386,-83.01895,2019-02-18 00:04:20,True,False,True,7299
42.30609,-82.97582,2019-02-18 00:04:21,True,False,True,3188
42.30854,-83.04577,2019-02-18 00:04:20,True,False,True,5727
42.29596,-82.92737,2019-02-18 00:04:22,True,False,True,4527
42.28966,-82.98725,2019-02-18 00:04:22,True,True,True,5334
